Weight,Group
0.2178,Yes
0.0967,Yes
0.3084,Yes
0.0829,Yes
0.2553,Yes
0.0907,Yes
0.1484,Yes
0.3582,Yes
0.1275,Yes
0.1118,Yes
0.1617,Yes
0.7822,No
0.9033,No
0.6916,No
0.9171,No
0.7447,No
0.9093,No
0.8516,No
0.6418,No
0.8725,No
0.8882,No
0.8383,No
