,Yes_proportion ,No_proportion 
Megan,0.2178,0.7822
Randy,0.0967,0.9033
Lemongrab,0.3084,0.6916
Roberto,0.0829,0.9171
MV3,0.2553,0.7447
Priscilla,0.0907,0.9093
Freckles,0.1484,0.8516
Bob,0.3582,0.6418
Sally Bowles,0.1275,0.8725
BB,0.1118,0.8882
Kevin,0.1617,0.8383
