"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"Day",198.722459217348,198.722459217348,1,175.980311341324,22.0983612911136,5.20967268667192e-06
"Frog_Type",23.695037011689,23.695037011689,1,21.2121052899764,2.63493865138773,0.119305077101178
